run,chi2,mse
0,29.9751,0.184509
1,26.5884,0.17504
2,27.1101,0.117422
3,26.5708,0.175334
4,30.5934,0.263079
5,24.5148,0.23574
6,29.056,0.165496
7,25.62,0.147879
8,40.5653,0.305415
9,25.7211,0.226766
10,39.8919,0.229628
11,35.3119,0.161033
12,26.6759,0.246639
13,35.1038,0.114958
14,27.3778,0.192198
15,41.7416,0.226813
16,43.912,0.171471
17,30.1688,0.130634
18,27.8616,0.117363
19,46.761,0.180188
20,26.2972,0.181744
21,26.5362,0.272366
22,12.5614,0.142386
23,25.3589,0.228396
24,31.3254,0.0990683
25,40.7272,0.14644
26,33.6868,0.0893422
27,26.0011,0.184027
28,34.3577,0.134869
29,28.0672,0.269415
30,39.7843,0.211513
31,47.695,0.150426
32,23.9266,0.110726
33,28.9953,0.212676
34,24.3509,0.131385
35,34.6427,0.213004
36,43.8702,0.227629
37,21.7114,0.110556
38,30.6273,0.284907
39,14.1355,0.141028
40,30.1374,0.194655
41,34.5551,0.115952
42,25.8997,0.165461
43,32.2974,0.163058
44,30.48,0.213341
45,22.5963,0.166267
46,33.6709,0.134429
47,23.7791,0.166458
48,28.6075,0.187574
49,39.4177,0.195215
50,28.2157,0.199447
51,17.8223,0.144845
52,33.0766,0.146291
53,31.5918,0.169905
54,41.0853,0.306329
55,25.2423,0.147929
56,27.248,0.201306
57,24.0152,0.131704
58,39.1612,0.127816
59,39.6852,0.214205
60,27.1597,0.323141
61,27.4265,0.248685
62,22.0206,0.142809
63,40.2292,0.121684
64,22.5769,0.0801911
65,31.9017,0.217078
66,25.6174,0.107731
67,23.8488,0.223149
68,25.6292,0.208221
69,33.772,0.193851
70,41.3328,0.313713
71,49.6497,0.223941
72,27.6944,0.21779
73,23.8321,0.293329
74,46.1372,0.124073
75,21.8105,0.0848953
76,31.5269,0.134667
77,28.2165,0.10578
78,39.903,0.277395
79,24.4074,0.140968
80,19.9661,0.0652869
81,53.4959,0.235939
82,22.9334,0.119164
83,24.6753,0.318675
84,29.1821,0.192177
85,37.0347,0.214478
86,31.1394,0.140628
87,38.4335,0.134706
88,31.7314,0.126321
89,37.7095,0.178093
90,33.8706,0.239634
91,26.0138,0.392228
92,20.2639,0.180976
93,35.2226,0.274586
94,28.6809,0.156458
95,19.3173,0.113625
96,18.1028,0.17972
97,17.9412,0.29388
98,31.244,0.107349
99,40.0307,0.221051
